  Time    www.google-analytics.com  5-edge-chat.facebook.com  collector.githubapp.com  github.com  scontent-sin1-1.xx.fbcdn.net  camo.githubusercontent.com  www.google.co.in  pixel.facebook.com  live.github.com  api.github.com  m.ak.fbcdn.net  avatars2.githubusercontent.com  assets-cdn.github.com  avatars1.githubusercontent.com  avatars3.githubusercontent.com  clients4.google.com  m-static.ak.fbcdn.net  z-1-static.xx.fbcdn.net  edge-chat.facebook.com 
  0.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      3      0      0      0
  6.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  6.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  6.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  6.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  7.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  7.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  7.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      4      0      0      0
  7.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     11      0      0      0
  8.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  8.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  8.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  8.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  9.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  9.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  9.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
  9.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
 10.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
 10.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
 10.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0     14      0      0      0
